fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.9;0.31;0.57;2.0;0.111;26.0;85.0;0.9971;3.76;0.53;12.61;5
7.4;0.39;0.48;2.0;0.082;14.0;67.0;0.9972;3.84;0.55;11.959999999999999;5
7.7;0.705;0.1;2.6;0.084;9.0;26.0;0.9976;3.89;0.49;12.61;5
7.9;0.5;0.33;2.0;0.084;15.0;143.0;0.9968;3.7;0.55;12.35;5
7.9;0.49;0.32;1.9;0.082;17.0;144.0;0.9968;3.7;0.55;12.35;5
8.2;0.5;0.35;2.9;0.077;21.0;127.0;0.9976;3.73;0.62;12.22;5
6.4;0.37;0.25;1.9;0.074;21.0;49.0;0.9974;4.07;0.62;12.740000000000002;6
6.8;0.63;0.12;3.8;0.099;16.0;126.0;0.9969;3.78;0.61;12.35;5
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.78;0.55;12.61;5
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.78;0.55;12.61;5
7.8;0.59;0.33;2.0;0.074;24.0;120.0;0.9968;3.75;0.54;12.22;5
7.3;0.58;0.3;2.4;0.074;15.0;55.0;0.9968;3.96;0.59;13.26;5
11.5;0.3;0.6;2.0;0.067;12.0;27.0;0.9981;3.61;0.97;13.13;6
5.4;0.835;0.08;1.2;0.046;13.0;93.0;0.9924;4.07;0.85;16.900000000000002;7
6.9;1.09;0.06;2.1;0.061;12.0;31.0;0.9948;4.01;0.43;14.82;4
9.6;0.32;0.47;1.4;0.056;9.0;24.0;0.99695;3.72;0.82;13.39;7
8.8;0.37;0.48;2.1;0.097;39.0;145.0;0.9975;3.54;1.03;12.090000000000002;5
6.8;0.5;0.11;1.5;0.075;16.0;49.0;0.99545;3.86;0.79;12.35;5
7.0;0.42;0.35;1.6;0.088;16.0;39.0;0.9961;3.84;0.55;11.959999999999999;5
7.0;0.43;0.36;1.6;0.089;14.0;37.0;0.99615;3.84;0.56;11.959999999999999;6
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.7;0.77;14.040000000000001;7
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.7;0.77;14.040000000000001;7
7.8;0.57;0.31;1.8;0.069;26.0;120.0;0.99625;3.79;0.53;12.090000000000002;5
7.8;0.44;0.28;2.7;0.1;18.0;95.0;0.9966;3.72;0.67;12.22;5
11.0;0.3;0.58;2.1;0.054;7.0;19.0;0.998;3.81;0.88;13.65;7
9.7;0.53;0.6;2.0;0.039;5.0;19.0;0.99585;3.8;0.86;16.12;6
8.0;0.725;0.24;2.8;0.083;10.0;62.0;0.99685;3.85;0.56;13.0;6
11.6;0.44;0.64;2.1;0.059;5.0;15.0;0.998;3.71;0.67;13.26;6
8.2;0.57;0.26;2.2;0.06;28.0;65.0;0.9959;3.8;0.43;13.13;5
7.8;0.735;0.08;2.4;0.092;10.0;41.0;0.9974;3.74;0.71;12.740000000000002;6
7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9974;3.84;0.76;13.65;5
8.7;0.625;0.16;2.0;0.101;13.0;49.0;0.9962;3.64;0.57;14.3;5
8.1;0.725;0.22;2.2;0.072;11.0;41.0;0.9967;3.86;0.55;11.83;5
7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9957;3.89;0.54;12.61;5
7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.99655;3.8;0.6;12.35;5
7.8;0.34;0.37;2.0;0.082;24.0;58.0;0.9964;3.84;0.59;12.22;6
7.4;0.53;0.26;2.0;0.101;16.0;72.0;0.9957;3.65;0.57;12.22;5
6.8;0.61;0.04;1.5;0.057;5.0;10.0;0.99525;3.92;0.6;12.35;5
8.6;0.645;0.25;2.0;0.083;8.0;28.0;0.99815;3.78;0.6;13.0;6
8.4;0.635;0.36;2.0;0.089;15.0;55.0;0.99745;3.81;0.57;13.520000000000001;4
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.87;0.58;13.65;6
8.9;0.59;0.5;2.0;0.337;27.0;81.0;0.9964;3.54;1.61;12.35;6
9.0;0.82;0.14;2.6;0.089;9.0;23.0;0.9984;3.89;0.63;12.740000000000002;5
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.87;0.58;13.65;6
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.96;0.5;14.3;5
5.2;0.48;0.04;1.6;0.054;19.0;106.0;0.9927;4.04;0.62;15.86;7
8.0;0.38;0.06;1.8;0.078;12.0;49.0;0.99625;3.87;0.52;12.870000000000001;6
8.5;0.37;0.2;2.8;0.09;18.0;58.0;0.998;3.84;0.7;12.48;6
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.96;0.5;14.3;5
8.2;1.0;0.09;2.3;0.065;7.0;37.0;0.99685;3.82;0.55;11.700000000000001;6
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.99675;3.87;0.58;11.700000000000001;6
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.99675;3.87;0.58;11.700000000000001;6
7.2;0.645;0.0;1.9;0.097;15.0;39.0;0.99675;3.87;0.58;11.959999999999999;6
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.99675;3.87;0.58;11.700000000000001;6
8.2;1.0;0.09;2.3;0.065;7.0;37.0;0.99685;3.82;0.55;11.700000000000001;6
8.9;0.635;0.37;1.7;0.263;5.0;62.0;0.9971;3.5;1.09;12.090000000000002;5
12.0;0.38;0.56;2.1;0.093;6.0;24.0;0.99925;3.64;0.71;14.170000000000002;6
7.7;0.58;0.1;1.8;0.102;28.0;109.0;0.99565;3.58;0.49;12.740000000000002;6
15.0;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.57;0.84;11.959999999999999;7
15.0;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.57;0.84;11.959999999999999;7
7.3;0.66;0.0;2.0;0.084;6.0;23.0;0.9983;4.109999999999999;0.96;12.870000000000001;6
7.1;0.68;0.07;1.9;0.075;16.0;51.0;0.99685;3.88;0.52;12.35;5
8.2;0.6;0.17;2.3;0.072;11.0;73.0;0.9963;3.7;0.45;12.090000000000002;5
7.7;0.53;0.06;1.7;0.074;9.0;39.0;0.99615;3.85;0.48;12.740000000000002;6
7.3;0.66;0.0;2.0;0.084;6.0;23.0;0.9983;4.109999999999999;0.96;12.870000000000001;6
10.8;0.32;0.44;1.6;0.063;16.0;37.0;0.9985;3.72;0.78;13.0;6
7.1;0.6;0.0;1.8;0.074;16.0;34.0;0.9972;3.97;0.7;12.870000000000001;6
11.1;0.35;0.48;3.1;0.09;5.0;21.0;0.9986;3.67;0.53;13.65;5
7.7;0.775;0.42;1.9;0.092;8.0;86.0;0.9959;3.73;0.59;12.35;5
7.1;0.6;0.0;1.8;0.074;16.0;34.0;0.9972;3.97;0.7;12.870000000000001;6
8.0;0.57;0.23;3.2;0.073;17.0;119.0;0.99675;3.76;0.57;12.090000000000002;5
9.4;0.34;0.37;2.2;0.075;5.0;13.0;0.998;3.72;0.62;11.959999999999999;5
6.6;0.695;0.0;2.1;0.075;12.0;56.0;0.9968;3.99;0.67;11.959999999999999;5
7.7;0.41;0.76;1.8;0.611;8.0;45.0;0.9968;3.56;1.26;12.22;5
10.0;0.31;0.47;2.6;0.085;14.0;33.0;0.99965;3.86;0.8;13.65;7
7.9;0.33;0.23;1.7;0.077;18.0;45.0;0.99625;3.79;0.65;12.090000000000002;5
7.0;0.975;0.04;2.0;0.087;12.0;67.0;0.99565;3.85;0.6;12.22;4
8.0;0.52;0.03;1.7;0.07;10.0;35.0;0.99575;3.84;0.57;13.0;5
7.9;0.37;0.23;1.8;0.077;23.0;49.0;0.9963;3.78;0.67;12.090000000000002;5
12.5;0.56;0.49;2.4;0.064;5.0;27.0;0.9999;3.58;0.87;14.170000000000002;5
11.8;0.26;0.52;1.8;0.071;6.0;10.0;0.9968;3.7;0.72;13.26;7
8.1;0.87;0.0;3.3;0.096;26.0;61.0;1.00025;4.1;0.72;12.740000000000002;4
7.9;0.35;0.46;3.6;0.078;15.0;37.0;0.9973;3.85;0.86;16.64;8
6.9;0.54;0.04;3.0;0.077;7.0;27.0;0.9987;4.1899999999999995;0.91;12.22;6
11.5;0.18;0.51;4.0;0.104;4.0;23.0;0.9996;3.78;0.97;13.13;6
7.9;0.545;0.06;4.0;0.087;27.0;61.0;0.9965;3.86;0.67;13.91;6
11.5;0.18;0.51;4.0;0.104;4.0;23.0;0.9996;3.78;0.97;13.13;6
10.9;0.37;0.58;4.0;0.071;17.0;65.0;0.99935;3.72;0.78;13.13;5
8.4;0.715;0.2;2.4;0.076;10.0;38.0;0.99735;3.81;0.64;12.22;5
7.5;0.65;0.18;7.0;0.088;27.0;94.0;0.99915;3.88;0.77;12.22;5
7.9;0.545;0.06;4.0;0.087;27.0;61.0;0.9965;3.86;0.67;13.91;6
6.9;0.54;0.04;3.0;0.077;7.0;27.0;0.9987;4.1899999999999995;0.91;12.22;6
11.5;0.18;0.51;4.0;0.104;4.0;23.0;0.9996;3.78;0.97;13.13;6
10.3;0.32;0.45;6.4;0.073;5.0;13.0;0.9976;3.73;0.82;16.38;8
8.9;0.4;0.32;5.6;0.087;10.0;47.0;0.9991;3.88;0.77;13.65;7
11.4;0.26;0.44;3.6;0.071;6.0;19.0;0.9986;3.62;0.82;12.090000000000002;6
7.7;0.27;0.68;3.5;0.358;5.0;10.0;0.9972;3.75;1.08;12.870000000000001;7
7.6;0.52;0.12;3.0;0.067;12.0;53.0;0.9971;3.86;0.57;11.83;5
8.9;0.4;0.32;5.6;0.087;10.0;47.0;0.9991;3.88;0.77;13.65;7
9.9;0.59;0.07;3.4;0.102;32.0;71.0;1.00015;3.81;0.71;12.740000000000002;5
